2022-09-13,AF,259,0,,,196663,7791,,
2022-09-13,AL,104,0,,,330149,3586,,
2022-09-13,DZ,9,0,,,270570,6879,,
2022-09-13,AD,34,0,,,46147,155,,
2022-09-13,AO,0,0,,,103131,1917,,
2022-09-13,AI,5,0,,,3856,12,,
2022-09-13,AG,34,0,,,9008,145,,
2022-09-13,AR,0,0,,,9697763,129830,,
2022-09-13,AM,0,0,,,439302,8669,,
2022-09-13,AW,0,0,,,42970,228,,
2022-09-16,AU,19737,135,0,7262,10144497,14610,0,78646425
2022-09-15,AT,,,,67392,,,,196596718
2022-09-13,AZ,371,9,,,818634,9873,,
2022-09-13,BS,0,0,,,37171,830,,
2022-09-13,BH,288,0,,,674909,1518,,
2022-09-13,BD,438,1,,,2016583,29337,,
2022-09-13,BB,104,2,,,101979,558,,
2022-09-13,BY,0,0,,,994037,7118,,
2022-09-15,BE,3,,,,4511590,,,
2022-09-13,BZ,139,0,,,68612,680,,
2022-09-13,BJ,0,0,,,27638,163,,
2022-09-13,BM,106,0,,,18019,148,,
2022-09-13,BT,0,0,,,61419,21,,
2022-09-13,BO,219,0,,,1106538,22218,,
2022-09-13,BA,135,2,,,397602,16104,,
2022-09-13,BW,0,0,,,326107,2779,,
2022-09-15,BR,9931,82,9607,,34568833,685203,33706231,
2022-09-13,VG,0,0,,,7305,64,,
2022-09-13,BN,0,0,,,224610,130,,
2022-09-13,BG,544,5,,,1250250,37663,,
2022-09-13,BF,0,0,,,21128,387,,
2022-09-13,BI,0,0,,,49882,15,,
2022-09-13,KH,4,0,,,137739,3056,,
2022-09-13,CM,0,0,,,121652,1935,,
2022-09-13,CA,0,0,,,4197701,44347,,
2022-09-13,CV,0,0,,,62346,410,,
2022-09-13,KY,165,2,,,30545,31,,
2022-09-13,CF,0,0,,,14903,113,,
2022-09-13,TD,0,0,,,7558,193,,
2022-09-13,CL,1906,10,0,,4568495,60822,,0
2022-09-15,CN,46558,67,886,,6501193,25485,331569,
2022-09-13,CO,0,0,,,6304317,141708,,
2022-09-13,KM,0,0,,,8467,160,,
2022-09-13,CK,0,0,,,6389,1,,
2022-09-13,CR,0,0,,,1105792,8913,,
2022-09-13,HR,1021,4,,,1222007,16817,,
2022-09-13,CU,21,0,,,1110948,8530,,
2022-09-13,CW,0,0,,,45345,287,,
2022-09-13,CY,0,0,,,579899,1173,,
2022-09-15,CZ,2495,5,3218,5592,4070913,40943,4010731,21758944
2022-09-13,CD,0,0,,,92750,1422,,
2022-09-13,DK,869,4,,,3283706,6987,,
2022-09-13,DJ,0,0,,,15690,189,,
2022-09-13,DM,0,0,,,14852,68,,
2022-09-13,DO,0,0,,,641677,4384,,
2022-09-13,TL,5,0,,,23237,138,,
2022-09-13,EC,112,0,,,999837,35884,,
2022-09-13,EG,0,0,,,515348,24796,,
2022-09-13,SV,0,0,,,201785,4228,,
2022-09-13,GQ,0,0,,,16894,183,,
2022-09-13,EE,0,0,,,599596,2661,,
2022-09-13,ET,0,0,,,493367,7572,,
2022-09-13,FK,0,0,,,1886,0,,
2022-09-13,FO,0,0,,,34658,28,,
2022-09-14,FJ,0,0,,,68207,878,,
2022-09-13,FI,94,0,,,1277473,5858,,
2022-09-15,FR,33263,33,,,,154644,,
2022-09-13,PF,18,0,,,76578,649,,
2022-09-13,GA,0,0,,,48668,306,,
2022-09-13,GM,0,0,,,12415,372,,
2022-09-13,GE,0,0,,,1762206,16900,,
2022-09-13,DE,32168,8,,,32604993,148728,,
2022-09-13,GH,0,0,,,168616,1459,,
2022-09-13,GI,0,0,,,20069,108,,
2022-09-13,GR,0,0,,,4838811,32894,,
2022-09-13,GL,0,0,,,11971,21,,
2022-09-14,GD,38,0,,,19473,236,,
2022-09-13,GT,0,0,,,1112550,19684,,
2022-09-13,GG,0,0,,,30992,62,,
2022-09-13,GN,0,0,,,37652,449,,
2022-09-13,GW,0,0,,,8796,175,,
